SCIENTIFIC_NAME,SPECIES_CODE,GROUP_CODE,START_YEAR,FOOTPRINT
Anoplopoma fimbria,20510,20510,1982,bs_slope
Atheresthes evermanni,10112,10112,1992,bs_all
Atheresthes stomias,10110,10110,1992,bs_all
Arctoraja parmifera,471,471,1999,bs_all
Bathyraja aleutica,472,472,1999,bs_slope
Boreogadus saida,21725,21725,1982,bs_shelf
Chionoecetes bairdi,68560,68560,1982,bs_all
Chionoecetes opilio,68580,68580,1982,bs_all
Eleginus gracilis,21735,21735,1982,bs_shelf
Gadus chalcogrammus,21740,21740,1982,bs_all
Gadus macrocephalus,21720,21720,1982,bs_all
Glyptocephalus zachirus,10200,10200,1982,bs_all
Hippoglossoides sp,10129,10129,1982,bs_all
Hippoglossoides elassodon,10130,10129,1982,bs_all
Hippoglossoides robustus,10140,10129,1982,bs_all
Hippoglossus stenolepis,10120,10120,1982,bs_all
Lepidopsetta bilineata,10262,10260,1982,bs_all
Lepidopsetta polyxystra,10261,10260,1982,bs_all
Lepidopsetta sp,10260,10260,1982,bs_all
Limanda aspera,10210,10210,1982,bs_shelf
Paralithodes camtschaticus,69322,69322,1982,bs_shelf
Paralithodes platypus,69323,69323,1982,bs_shelf
Pleuronectes quadrituberculatus,10285,10285,1982,bs_shelf
REBS rockfishes,30050,30050,1982,bs_slope
Reinhardtius hippoglossoides,10115,10115,1982,bs_all
Sebastes aleutianus,30051,30050,1982,bs_slope
Sebastes alutus,30060,30060,1982,bs_slope
Sebastes borealis,30576,30576,1982,bs_slope
Sebastes melanostictus,30052,30050,1982,bs_slope
Sebastolobus alascanus,30020,30020,1982,bs_slope
